Frame number,158
First frame,183
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,LKneeMoment,,,RHipMoment,,,LHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2.26,160,227.037,26.924,192.875,408.442,53.7439,30.8742,9.67284,2.03521,8.80248,-5.59893,-2.98755,-2.54899,0.945339,-6.87505,-2.53064,0,0,11.4563,4.04774,-5.52542,-98.9041,-3.02737,-10.0472,-34.882,-60.973,7.01078,-214.366,-12.2861,-12.9114,-213.283,-334.559,36.5359,0,0,-0.424722,0,0,0.0396164,0,0,-0.063896
2.27,160.503,229.03,28.813,192.374,411.85,49.6887,29.6118,9.99869,2.99213,8.35806,-5.06879,-1.84268,-3.2276,1.29095,-8.4346,-3.19264,0,0,11.4237,4.47236,-5.55346,-97.4776,-3.06025,-9.5008,-31.4423,-75.0422,2.27346,-248.817,-16.4382,-5.39279,-206.974,-355.932,39.8518,0,0,-0.476523,0,0,-0.000960985,0,0,-0.0220658
2.28,161.038,230.641,30.2983,191.775,414.342,46.6819,28.4789,10.3207,3.53894,8.05262,-4.63557,-0.855972,-3.53288,1.52336,-9.47629,-3.48463,0,0,11.4249,4.872,-5.56642,-96.3463,-3.00512,-8.97031,-25.7636,-88.0685,-3.85488,-247.482,-24.4936,0.749121,-195.842,-368.144,42.3424,0,0,-0.423064,0,0,-0.0257925,0,0,0.00533702
2.29,161.575,231.76,31.2986,191.413,415.905,44.5745,27.4996,10.6451,3.6802,7.9622,-4.31243,-0.113315,-3.4693,1.65644,-10.0699,-3.4158,0,0,11.4479,5.24081,-5.55659,-95.4721,-2.8467,-8.59817,-14.2863,-99.2735,-10.256,-202.595,-40.0336,4.28229,-190.583,-371.8,43.4927,0,0,-0.290082,0,0,-0.025969,0,0,0.0179673
2.3,162.085,232.391,31.8425,191.431,416.683,43.1895,26.6506,10.9674,3.49213,8.07819,-4.09584,0.37105,-3.08478,1.71325,-10.3227,-3.03479,0,0,11.4784,5.5739,-5.51633,-94.8135,-2.60318,-8.43185,5.56668,-106.623,-15.7551,-128.61,-61.2361,5.04699,-199.988,-365.832,42.0843,0,0,-0.140754,0,0,-0.0132032,0,0,0.0226186
2.31,162.553,232.615,32.0265,191.767,416.9,42.3419,25.876,11.2754,3.09623,8.33152,-3.97081,0.641241,-2.45391,1.71937,-10.3499,-2.41396,0,0,11.5015,5.86713,-5.43865,-94.3321,-2.31417,-8.43099,32.7477,-107.647,-19.6305,-50.0693,-81.2005,3.89438,-225.237,-348.2,36.9865,0,0,-0.0188753,0,0,-0.00292348,0,0,0.0245363
2.32,162.968,232.55,31.9728,192.266,416.793,41.8598,25.1086,11.5534,2.62445,8.62748,-3.9141,0.763371,-1.66184,1.69884,-10.2586,-1.63526,0,0,11.5035,6.11688,-5.3178,-93.9918,-2.02132,-8.51797,62.9631,-101.302,-21.7694,12.0399,-94.8367,2.01194,-260.789,-319.021,28.2138,0,0,0.0641933,0,0,-0.000328774,0,0,0.0251055
2.33,163.325,232.317,31.7962,192.781,416.556,41.5989,24.2904,11.7866,2.18718,8.87973,-3.89911,0.791851,-0.787775,1.67074,-10.1336,-0.775493,0,0,11.4737,6.31962,-5.1499,-93.7584,-1.7533,-8.62525,91.6068,-88.9111,-22.4167,44.9808,-101.119,0.233998,-299.584,-282.184,17.1439,0,0,0.106447,0,0,-0.00196596,0,0,0.0242806
2.34,163.617,232.016,31.5852,193.217,416.314,41.4521,23.386,11.9636,1.85305,9.03208,-3.90243,0.74983,0.106975,1.64542,-10.0209,0.10535,0,0,11.406,6.47186,-4.93345,-93.6009,-1.52033,-8.71557,115.523,-73.3449,-21.8616,46.6978,-101.854,-1.06909,-335.581,-243.131,5.96251,0,0,0.104585,0,0,-0.00276672,0,0,0.0224146
2.35,163.84,231.717,31.3948,193.536,416.132,41.3496,22.3865,12.0772,1.64441,9.06376,-3.90905,0.628352,0.982132,1.62306,-9.92122,0.967438,0,0,11.2997,6.57009,-4.66968,-93.4923,-1.3179,-8.77989,133.561,-57.4497,-20.2821,27.513,-98.9439,-1.76928,-365.03,-206.018,-3.40584,0,0,0.065795,0,0,-0.000151148,0,0,0.0202488
2.36,163.994,231.456,31.2495,193.737,416.023,41.2531,21.3051,12.1237,1.54696,8.98207,-3.91309,0.40325,1.81616,1.597,-9.80502,1.78962,0,0,11.1598,6.61112,-4.36262,-93.411,-1.13567,-8.82625,145.57,-42.8107,-17.7382,2.45186,-93.4809,-1.92242,-384.684,-171.691,-10.0364,0,0,0.0109769,0,0,0.00463747,0,0,0.0183018
2.37,164.082,231.242,31.1521,193.843,415.973,41.1461,20.1677,12.1025,1.52644,8.80919,-3.91478,0.0581814,2.60112,1.5595,-9.6377,2.56437,0,0,10.9968,6.5925,-4.01889,-93.3408,-0.965207,-8.86796,152.359,-29.4551,-14.2293,-16.4389,-86.0764,-1.72559,-392.121,-138.264,-14.4464,0,0,-0.035304,0,0,0.00873891,0,0,0.0167007
2.38,164.113,231.075,31.0948,193.88,415.96,41.0246,19.0038,12.0155,1.54542,8.56918,-3.91637,-0.399711,3.33649,1.50648,-9.40083,3.29165,0,0,10.8253,6.5131,-3.64723,-93.271,-0.803193,-8.91457,154.933,-16.7161,-9.85001,-24.9427,-77.1615,-1.42764,-384.997,-103.643,-17.8669,0,0,-0.0603555,0,0,0.0105139,0,0,0.0154001
2.39,164.098,230.947,31.0683,193.867,415.969,40.8894,17.8401,11.8659,1.57402,8.28024,-3.91934,-0.937488,4.02455,1.43924,-9.09996,3.9738,0,0,10.6629,6.3736,-3.2577,-93.1945,-0.650585,-8.96813,154.474,-4.28872,-4.90625,-24.4918,-66.843,-1.18003,-361.5,-68.0256,-21.3047,0,0,-0.0645016,0,0,0.0100842,0,0,0.0143042
2.4,164.049,230.856,31.0669,193.816,415.996,40.7413,16.6983,11.659,1.59362,7.95317,-3.92352,-1.50515,4.66792,1.36366,-8.76116,4.61335,0,0,10.527,6.17695,-2.86098,-93.1074,-0.510177,-9.02496,152.194,7.34731,0.0963017,-20.4979,-55.3668,-1.04179,-321.33,-34.4372,-24.971,0,0,-0.0581869,0,0,0.00862819,0,0,0.0133037
